H;U;W;I;G;time (msecs)
200;30;1;3;2;1519
200;30;1;3;3;6707
200;30;1;3;4;no-pseudo-plan
200;30;1;3;5;no-pseudo-plan
200;30;2;1;1;91
200;30;2;1;2;437
200;30;2;1;3;1147
200;30;2;1;4;no-pseudo-plan
200;30;2;1;5;no-pseudo-plan
200;30;2;2;1;204
200;30;2;2;2;1036
200;30;2;2;3;4122
200;30;2;2;4;no-pseudo-plan
200;30;2;2;5;no-pseudo-plan
200;30;2;3;1;325
200;30;2;3;2;2204
200;30;2;3;3;8205
200;30;2;3;4;no-pseudo-plan
200;30;2;3;5;no-pseudo-plan
200;30;3;1;1;157
200;30;3;1;2;639
200;30;3;1;3;1748
200;30;3;1;4;no-pseudo-plan
200;30;3;1;5;no-pseudo-plan
200;30;3;2;1;294
200;30;3;2;2;1463
200;30;3;2;3;5160
200;30;3;2;4;no-pseudo-plan
200;30;3;2;5;no-pseudo-plan
200;30;3;3;1;523
200;30;3;3;2;2876
200;30;3;3;3;9386
200;30;3;3;4;no-pseudo-plan
200;30;3;3;5;no-pseudo-plan
300;10;1;1;1;no-pseudo-plan
300;10;1;1;2;no-pseudo-plan
300;10;1;1;3;no-pseudo-plan
300;10;1;1;4;no-pseudo-plan
300;10;1;1;5;no-pseudo-plan
300;10;1;2;1;no-pseudo-plan
300;10;1;2;2;no-pseudo-plan
300;10;1;2;3;no-pseudo-plan
300;10;1;2;4;no-pseudo-plan
300;10;1;2;5;no-pseudo-plan
300;10;1;3;1;no-pseudo-plan
300;10;1;3;2;no-pseudo-plan
300;10;1;3;3;no-pseudo-plan
300;10;1;3;4;no-pseudo-plan
300;10;1;3;5;no-pseudo-plan
300;10;2;1;1;no-pseudo-plan
300;10;2;1;2;no-pseudo-plan
300;10;2;1;3;no-pseudo-plan
300;10;2;1;4;no-pseudo-plan
300;10;2;1;5;no-pseudo-plan
300;10;2;2;1;no-pseudo-plan
300;10;2;2;2;no-pseudo-plan
300;10;2;2;3;no-pseudo-plan
300;10;2;2;4;no-pseudo-plan
300;10;2;2;5;no-pseudo-plan
300;10;2;3;1;no-pseudo-plan
300;10;2;3;2;no-pseudo-plan
300;10;2;3;3;no-pseudo-plan
300;10;2;3;4;no-pseudo-plan
300;10;2;3;5;no-pseudo-plan
300;10;3;1;1;no-pseudo-plan
300;10;3;1;2;no-pseudo-plan
300;10;3;1;3;no-pseudo-plan
300;10;3;1;4;no-pseudo-plan
300;10;3;1;5;no-pseudo-plan
300;10;3;2;1;no-pseudo-plan
300;10;3;2;2;no-pseudo-plan
300;10;3;2;3;no-pseudo-plan
300;10;3;2;4;no-pseudo-plan
300;10;3;2;5;no-pseudo-plan
300;10;3;3;1;no-pseudo-plan
300;10;3;3;2;no-pseudo-plan
300;10;3;3;3;no-pseudo-plan
300;10;3;3;4;no-pseudo-plan
300;10;3;3;5;no-pseudo-plan
300;20;1;1;1;no-pseudo-plan
300;20;1;1;2;no-pseudo-plan
300;20;1;1;3;no-pseudo-plan
300;20;1;1;4;no-pseudo-plan
300;20;1;1;5;no-pseudo-plan
300;20;1;2;1;no-pseudo-plan
300;20;1;2;2;no-pseudo-plan
300;20;1;2;3;no-pseudo-plan
300;20;1;2;4;no-pseudo-plan
300;20;1;2;5;no-pseudo-plan
300;20;1;3;1;no-pseudo-plan
300;20;1;3;2;no-pseudo-plan
300;20;1;3;3;no-pseudo-plan
300;20;1;3;4;no-pseudo-plan
300;20;1;3;5;no-pseudo-plan
300;20;2;1;1;no-pseudo-plan
300;20;2;1;2;no-pseudo-plan
300;20;2;1;3;no-pseudo-plan
300;20;2;1;4;no-pseudo-plan
300;20;2;1;5;no-pseudo-plan
300;20;2;2;1;no-pseudo-plan
300;20;2;2;2;no-pseudo-plan
300;20;2;2;3;no-pseudo-plan
300;20;2;2;4;no-pseudo-plan
300;20;2;2;5;no-pseudo-plan
300;20;2;3;1;no-pseudo-plan
300;20;2;3;2;no-pseudo-plan
300;20;2;3;3;no-pseudo-plan
300;20;2;3;4;no-pseudo-plan
300;20;2;3;5;no-pseudo-plan
300;20;3;1;1;no-pseudo-plan
300;20;3;1;2;no-pseudo-plan
300;20;3;1;3;no-pseudo-plan
300;20;3;1;4;no-pseudo-plan
300;20;3;1;5;no-pseudo-plan
300;20;3;2;1;no-pseudo-plan
300;20;3;2;2;no-pseudo-plan
300;20;3;2;3;no-pseudo-plan
300;20;3;2;4;no-pseudo-plan
300;20;3;2;5;no-pseudo-plan
300;20;3;3;1;no-pseudo-plan
300;20;3;3;2;no-pseudo-plan
300;20;3;3;3;no-pseudo-plan
300;20;3;3;4;no-pseudo-plan
300;20;3;3;5;no-pseudo-plan
300;30;1;1;1;no-pseudo-plan
300;30;1;1;2;no-pseudo-plan
300;30;1;1;3;no-pseudo-plan
300;30;1;1;4;no-pseudo-plan
300;30;1;1;5;no-pseudo-plan
300;30;1;2;1;no-pseudo-plan
300;30;1;2;2;no-pseudo-plan
300;30;1;2;3;no-pseudo-plan
300;30;1;2;4;no-pseudo-plan
300;30;1;2;5;no-pseudo-plan
300;30;1;3;1;no-pseudo-plan
300;30;1;3;2;no-pseudo-plan
300;30;1;3;3;no-pseudo-plan
300;30;1;3;4;no-pseudo-plan
300;30;1;3;5;no-pseudo-plan
300;30;2;1;1;no-pseudo-plan
300;30;2;1;2;no-pseudo-plan
300;30;2;1;3;no-pseudo-plan
300;30;2;1;4;no-pseudo-plan
300;30;2;1;5;no-pseudo-plan
300;30;2;2;1;no-pseudo-plan
300;30;2;2;2;no-pseudo-plan
300;30;2;2;3;no-pseudo-plan
300;30;2;2;4;no-pseudo-plan
300;30;2;2;5;no-pseudo-plan
300;30;2;3;1;no-pseudo-plan
300;30;2;3;2;no-pseudo-plan
300;30;2;3;3;no-pseudo-plan
300;30;2;3;4;no-pseudo-plan
300;30;2;3;5;no-pseudo-plan
300;30;3;1;1;no-pseudo-plan
300;30;3;1;2;no-pseudo-plan
300;30;3;1;3;no-pseudo-plan
300;30;3;1;4;no-pseudo-plan
300;30;3;1;5;no-pseudo-plan
300;30;3;2;1;no-pseudo-plan
300;30;3;2;2;no-pseudo-plan
300;30;3;2;3;no-pseudo-plan
300;30;3;2;4;no-pseudo-plan
300;30;3;2;5;no-pseudo-plan
300;30;3;3;1;no-pseudo-plan
300;30;3;3;2;no-pseudo-plan
300;30;3;3;3;no-pseudo-plan
300;30;3;3;4;no-pseudo-plan
300;30;3;3;5;no-pseudo-plan
